battery_unit_cost_cny_per_kwh,scheme,battery_degradation_cost_cny,ev_degradation_cost_cny,total_degradation_cost_cny
0.03,S0_no_storage,0.0,180.86450000000005,180.86450000000005
0.03,S1_rule_storage,13.680000000000003,180.86450000000005,194.54450000000006
0.03,S2_partial_coordination,388.8667287546993,180.47945658012068,569.34618533482
0.03,S3_full_coordination,388.57263157894744,282.4691078267445,671.0417394056919
0.055,S0_no_storage,0.0,180.86450000000005,180.86450000000005
0.055,S1_rule_storage,25.080000000000005,180.86450000000005,205.94450000000006
0.055,S2_partial_coordination,712.9223360502821,180.47945658012068,893.4017926304027
0.055,S3_full_coordination,712.383157894737,282.4691078267445,994.8522657214814
0.08,S0_no_storage,0.0,180.86450000000005,180.86450000000005
0.08,S1_rule_storage,36.48000000000001,180.86450000000005,217.34450000000007
0.08,S2_partial_coordination,1036.9779433458648,180.47945658012068,1217.4573999259856
0.08,S3_full_coordination,1036.1936842105265,282.4691078267445,1318.662792037271
0.12,S0_no_storage,0.0,180.86450000000005,180.86450000000005
0.12,S1_rule_storage,54.72000000000001,180.86450000000005,235.58450000000005
0.12,S2_partial_coordination,1555.4669150187972,180.47945658012068,1735.946371598918
0.12,S3_full_coordination,1554.2905263157897,282.4691078267445,1836.7596341425342
